2,391	2474,955
2,384	2447,525
2,379	2424,561
2,364	2399,364
2,354	2374,805
2,332	2345,781
2,325	2324,730
2,307	2299,533
2,275	2274,655
2,279	2249,458
2,259	2223,624
2,241	2198,746
2,230	2174,187
2,205	2149,627
2,193	2123,793
2,182	2099,234
2,161	2074,675
2,143	2048,840
2,130	2024,600
2,107	1999,722
2,093	1974,525
2,071	1948,690
2,057	1923,812
2,037	1898,934
2,019	1874,694
2,005	1845,670
1,984	1824,619
1,966	1798,465
1,944	1772,630
1,921	1749,347
1,905	1723,831
1,887	1699,591
1,868	1673,756
1,848	1648,241
1,834	1623,363
1,805	1599,760
1,784	1574,882
1,760	1547,772
1,748	1523,532
1,726	1498,973
1,701	1473,457
1,685	1448,898
1,660	1424,977
1,642	1399,780
1,623	1374,583
1,601	1349,705
1,576	1324,508
1,557	1299,311
1,540	1274,433
1,505	1249,236
1,485	1223,720
1,462	1199,161
1,439	1173,327
1,423	1149,724
1,401	1124,527
1,376	1099,649
1,353	1074,771
1,326	1049,575
1,301	1022,783
1,280	998,224
1,249	973,665
1,224	949,744
1,203	923,909
1,181	895,841
1,160	872,877
1,129	848,637
1,106	823,440
1,078	799,519
1,049	774,641
1,026	749,763
0,999	724,247
0,970	698,731
0,945	674,491
0,929	649,932
0,895	623,460
0,869	599,538
0,835	574,341
0,810	549,464
0,785	524,904
0,761	499,389
0,731	474,511
0,713	449,952
0,686	424,755
0,647	398,601
0,618	374,042
0,590	349,483
0,554	323,648
0,533	299,727
0,508	274,849
0,474	249,971
0,443	223,498
0,418	199,577
0,377	174,061
0,350	149,821
0,325	123,986
0,286	99,108
0,263	73,911
0,232	49,990
0,200	24,156
0,170	-0,722
0,139	-26,557
0,111	-51,116
0,082	-78,227
0,038	-101,191
0,014	-125,112
-0,018	-150,309
-0,055	-175,825
-0,082	-200,065
-0,111	-226,219
-0,148	-250,778
-0,180	-275,656
-0,218	-301,172
-0,256	-326,050
-0,286	-350,290
-0,318	-376,444
-0,357	-400,365
-0,382	-426,200
-0,425	-451,396
-0,456	-475,637
-0,495	-500,833
-0,520	-525,393
-0,558	-551,227
-0,595	-575,148
-0,617	-600,345
-0,665	-628,094
-0,695	-650,420
-0,733	-676,893
-0,772	-700,495
-0,799	-725,054
-0,833	-750,251
-0,867	-775,129
-0,913	-800,326
-0,954	-826,799
-0,981	-850,401
-1,022	-878,468
-1,058	-900,157
-1,101	-925,673
-1,124	-950,551
-1,165	-975,429
-1,208	-1002,220
-1,238	-1026,141
-1,269	-1050,381
-1,319	-1075,260
-1,347	-1100,775
-1,396	-1125,334
-1,426	-1151,488
-1,465	-1176,047
-1,501	-1202,201
-1,537	-1225,165
-1,582	-1250,043
-1,616	-1275,878
-1,660	-1301,075
-1,696	-1326,910
-1,728	-1350,193
-1,771	-1375,390
-1,809	-1400,268
-1,839	-1426,741
-1,887	-1450,343
-1,925	-1475,540
-1,959	-1500,099
-2,003	-1525,296
-2,034	-1550,174
-2,078	-1575,689
-2,114	-1602,481
-2,146	-1625,126
-2,191	-1650,004
-2,239	-1675,520
-2,271	-1700,079
-2,307	-1725,595
-2,343	-1750,473
-2,388	-1775,032
-2,427	-1801,505
-2,470	-1825,107
-2,502	-1851,261
-2,541	-1876,139
-2,582	-1900,698
-2,609	-1925,895
-2,654	-1950,773
-2,691	-1975,970
-2,736	-2000,848
-2,768	-2025,088
-2,799	-2051,241
-2,833	-2075,163
-2,881	-2100,041
-2,904	-2125,875
-2,945	-2151,710
-2,976	-2176,588
-3,011	-2200,509
-3,051	-2226,025
-3,085	-2250,903
-3,111	-2276,738
-3,144	-2300,340
-3,169	-2325,537
-3,206	-2351,372
-3,240	-2375,931
-3,267	-2401,128
-3,295	-2425,049
-3,326	-2452,160
-3,356	-2476,719
-3,385	-2500,959
-3,370	-2474,805
-3,358	-2447,375
-3,337	-2423,454
-3,313	-2399,852
-3,290	-2374,655
-3,270	-2349,458
-3,245	-2323,623
-3,222	-2299,383
-3,194	-2274,824
-3,174	-2249,627
-3,147	-2221,560
-3,119	-2199,233
-3,092	-2173,399
-3,068	-2149,478
-3,040	-2123,962
-3,011	-2099,084
-2,984	-2074,844
-2,954	-2049,328
-2,920	-2024,769
-2,900	-1999,572
-2,865	-1974,375
-2,840	-1949,816
-2,793	-1924,938
-2,770	-1899,422
-2,750	-1874,544
-2,704	-1849,347
-2,670	-1824,788
-2,636	-1798,315
-2,600	-1773,756
-2,568	-1749,516
-2,545	-1722,725
-2,502	-1699,441
-2,486	-1674,882
-2,448	-1649,367
-2,402	-1623,532
-2,371	-1599,611
-2,338	-1574,733
-2,298	-1549,217
-2,262	-1523,382
-2,229	-1499,142
-2,193	-1473,945
-2,148	-1449,705
-2,123	-1424,189
-2,084	-1399,949
-2,044	-1373,795
-2,012	-1349,555
-1,973	-1324,996
-1,941	-1299,480
-1,901	-1274,921
